Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
DisGeNET,35,C3887524,Skin Erosion,,-8.1,5.8,8.3,30337,224,400,17,4.2,1,1308|2012|3552|3553|3557|3576|3586|4317|4318|5008|6279|6280|6696|7439|8140|23569|23601,COL17A1|EMP1|IL1A|IL1B|IL1RN|CXCL8|IL10|MMP8|MMP9|OSM|S100A8|S100A9|SPP1|BEST1|SLC7A5|PADI4|CLEC5A,-6.2,DEGs
DisGeNET,35,C0458219,Complex Regional Pain Syndromes,,-8,15,11,30337,47,400,9,2.2,0.74,3553|3557|3586|3684|3868|4311|4318|6347|9510,IL1B|IL1RN|IL10|ITGAM|KRT16|MME|MMP9|CCL2|ADAMTS1,-6.2,DEGs
DisGeNET,35,C3267073,Autoinflammatory disease,,-8,10,9.7,30337,81,400,11,2.8,0.82,3552|3553|3557|3586|3687|4210|7099|9051|58484|91662|114548,IL1A|IL1B|IL1RN|IL10|ITGAX|MEFV|TLR4|PSTPIP1|NLRC4|NLRP12|NLRP3,-6.2,DEGs
DisGeNET,35,C0011644,Scleroderma,,-8,4.8,7.8,30337,316,400,20,5,1.1,240|241|654|969|1959|1960|2358|3383|3552|3553|3586|3678|5270|5328|5329|5743|6280|6347|7099|8740,ALOX5|ALOX5AP|BMP6|CD69|EGR2|EGR3|FPR2|ICAM1|IL1A|IL1B|IL10|ITGA5|SERPINE2|PLAU|PLAUR|PTGS2|S100A9|CCL2|TLR4|TNFSF14,-6.2,DEGs
DisGeNET,35,C0002170,Alopecia,,-7.9,3.9,7.4,30337,491,400,25,6.2,1.2,722|820|1824|1830|3290|3383|3552|3553|3557|3586|3853|3854|3868|5743|6347|6573|6696|7133|7439|7538|9021|10603|10804|285848|348938,C4BPA|CAMP|DSC2|DSG3|HSD11B1|ICAM1|IL1A|IL1B|IL1RN|IL10|KRT6A|KRT6B|KRT16|PTGS2|CCL2|SLC19A1|SPP1|TNFRSF1B|BEST1|ZFP36|SOCS3|SH2B2|GJB6|PNPLA1|NIPAL4,-6.1,DEGs
DisGeNET,35,C1658953,tumor vasculature,,-7.9,6.1,8.3,30337,200,400,16,4,0.98,133|2321|3383|3576|3577|3579|3598|4318|4923|4973|5209|5328|5743|7056|7852|10763,ADM|FLT1|ICAM1|CXCL8|CXCR1|CXCR2|IL13RA2|MMP9|NTSR1|OLR1|PFKFB3|PLAU|PTGS2|THBD|CXCR4|NES,-6.1,DEGs
DisGeNET,35,C3665339,Bacterial sepsis of newborn,,-7.9,14,11,30337,48,400,9,2.2,0.74,929|3552|3586|6283|7099|7852|10135|56729|57817,CD14|IL1A|IL10|S100A12|TLR4|CXCR4|NAMPT|RETN|HAMP,-6.1,DEGs
Cell Type Signatures,7,M41720,FAN OVARY CL18 B LYMPHOCYTE,,-7.9,4.1,7.5,30337,422,400,23,5.8,1.2,241|752|951|963|2124|2207|3936|4046|4050|5341|5552|5997|6402|7852|8140|8477|9308|9473|9595|55824|83706|221692|653361,ALOX5AP|FMNL1|CD37|CD53|EVI2B|FCER1G|LCP1|LSP1|LTB|PLEK|SRGN|RGS2|SELL|CXCR4|SLC7A5|GPR65|CD83|THEMIS2|CYTIP|PAG1|FERMT3|PHACTR1|NCF1,-6.1,DEGs
DisGeNET,35,C4290046,trachomatis,,-7.9,6.5,8.4,30337,175,400,15,3.8,0.95,820|929|1839|2321|3240|3552|3553|3576|3586|4318|5341|5743|6347|7099|114548,CAMP|CD14|HBEGF|FLT1|HP|IL1A|IL1B|CXCL8|IL10|MMP9|PLEK|PTGS2|CCL2|TLR4|NLRP3,-6.1,DEGs
DisGeNET,35,C0040128,Thyroid Diseases,,-7.9,5.6,8.1,30337,230,400,17,4.2,1,929|2353|2354|3383|3553|3640|5743|6347|6926|7099|7133|7439|8807|8809|9021|9308|115350,CD14|FOS|FOSB|ICAM1|IL1B|INSL3|PTGS2|CCL2|TBX3|TLR4|TNFRSF1B|BEST1|IL18RAP|IL18R1|SOCS3|CD83|FCRL1,-6.1,DEGs
DisGeNET,35,C0006287,Bronchopulmonary Dysplasia,,-7.9,4.1,7.5,30337,423,400,23,5.8,1.2,383|777|2316|2357|2866|3162|3552|3553|3557|3586|4318|5023|5743|6280|6347|6402|6531|7099|7130|7852|8809|54210|114548,ARG1|CACNA1E|FLNA|FPR1|GPR42|HMOX1|IL1A|IL1B|IL1RN|IL10|MMP9|P2RX1|PTGS2|S100A9|CCL2|SELL|SLC6A3|TLR4|TNFAIP6|CXCR4|IL18R1|TREM1|NLRP3,-6.1,DEGs
DisGeNET,35,C0027947,Neutropenia,,-7.9,4.3,7.5,30337,389,400,22,5.5,1.1,133|728|820|978|1441|2215|3162|3383|3553|3586|3684|4318|5142|6347|7099|7454|7852|8140|8794|9021|9051|57126,ADM|C5AR1|CAMP|CDA|CSF3R|FCGR3B|HMOX1|ICAM1|IL1B|IL10|ITGAM|MMP9|PDE4B|CCL2|TLR4|WAS|CXCR4|SLC7A5|TNFRSF10C|SOCS3|PSTPIP1|CD177,-6,DEGs
DisGeNET,35,C0524988,Schnitzler Syndrome,,-7.9,33,14,30337,14,400,6,1.5,0.61,3552|3553|3557|6347|57817|114548,IL1A|IL1B|IL1RN|CCL2|HAMP|NLRP3,-6,DEGs
DisGeNET,35,C0085207,Gestational Diabetes,,-7.9,3.4,7.1,30337,649,400,29,7.2,1.3,133|366|2268|2321|3240|3290|3383|3553|3557|3576|3586|3687|4317|4318|4973|5743|5788|5806|6280|6347|6515|7056|7099|7462|10135|25797|56729|57817|114548,ADM|AQP9|FGR|FLT1|HP|HSD11B1|ICAM1|IL1B|IL1RN|CXCL8|IL10|ITGAX|MMP8|MMP9|OLR1|PTGS2|PTPRC|PTX3|S100A9|CCL2|SLC2A3|THBD|TLR4|LAT2|NAMPT|QPCT|RETN|HAMP|NLRP3,-6,DEGs
COVID,200,COVID262,RNA_Wilk_CD16+Monocytes_patient-C1B-severe_Up,,-7.8,14,10,30337,49,400,9,2.2,0.74,719|929|1230|2357|3684|4332|6279|22918|342510,C3AR1|CD14|CCR1|FPR1|ITGAM|MNDA|S100A8|CD93|CD300E,-6,DEGs
DisGeNET,35,C0014170,Endometrial Neoplasms,,-7.8,5.2,7.9,30337,261,400,18,4.5,1,133|2353|3036|3552|3553|3557|3576|3624|4311|4318|5328|5743|6279|6347|6696|7099|7852|9021,ADM|FOS|HAS1|IL1A|IL1B|IL1RN|CXCL8|INHBA|MME|MMP9|PLAU|PTGS2|S100A8|CCL2|SPP1|TLR4|CXCR4|SOCS3,-6,DEGs
Cell Type Signatures,7,M39289,DURANTE ADULT OLFACTORY NEUROEPITHELIUM B CELLS,,-7.8,17,11,30337,35,400,8,2,0.7,951|963|969|2124|4050|7852|9308|117289,CD37|CD53|CD69|EVI2B|LTB|CXCR4|CD83|TAGAP,-6,DEGs
DisGeNET,35,C0018203,Chronic granulomatous disease,,-7.8,8.7,9.1,30337,105,400,12,3,0.85,2012|3552|3553|3576|3586|3689|4689|5265|5341|114548|653361|654817,EMP1|IL1A|IL1B|CXCL8|IL10|ITGB2|NCF4|SERPINA1|PLEK|NLRP3|NCF1|NCF1C,-6,DEGs
COVID,200,COVID189,RNA_Stukalov_A549-ACE2_18h_Up,,-7.8,11,9.9,30337,66,400,10,2.5,0.78,2069|2354|3576|5997|6347|6374|8870|9021|23135|64651,EREG|FOSB|CXCL8|RGS2|CCL2|CXCL5|IER3|SOCS3|KDM6B|CSRNP1,-6,DEGs
DisGeNET,35,C0220650,Metastatic malignant neoplasm to brain,,-7.8,4.3,7.5,30337,392,400,22,5.5,1.1,101|1084|1824|1903|2321|3240|3576|3860|4318|4327|5743|5806|6347|6354|6515|6615|6696|7538|7852|9770|9839|10763,ADAM8|CEACAM3|DSC2|S1PR3|FLT1|HP|CXCL8|KRT13|MMP9|MMP19|PTGS2|PTX3|CCL2|CCL7|SLC2A3|SNAI1|SPP1|ZFP36|CXCR4|RASSF2|ZEB2|NES,-6,DEGs
TRRUST,34,TRR00110,Regulated by: CEBPB,,-7.7,11,9.8,30337,67,400,10,2.5,0.78,133|1441|3240|3553|3576|3586|5743|6280|6573|7130,ADM|CSF3R|HP|IL1B|CXCL8|IL10|PTGS2|S100A9|SLC19A1|TNFAIP6,-5.9,DEGs
DisGeNET,35,C0023493,Adult T-Cell Lymphoma/Leukemia,,-7.7,3.7,7.2,30337,540,400,26,6.5,1.2,654|943|969|2215|2353|2354|2866|3383|3552|3553|3576|3586|3687|3689|3718|4318|5328|5341|6347|6364|6402|7133|7852|10135|55824|114548,BMP6|TNFRSF8|CD69|FCGR3B|FOS|FOSB|GPR42|ICAM1|IL1A|IL1B|CXCL8|IL10|ITGAX|ITGB2|JAK3|MMP9|PLAU|PLEK|CCL2|CCL20|SELL|TNFRSF1B|CXCR4|NAMPT|PAG1|NLRP3,-5.9,DEGs
DisGeNET,35,C0341858,Endometriosis of uterus,,-7.7,6.9,8.5,30337,154,400,14,3.5,0.92,240|3553|3576|3586|4311|4318|5743|6347|6402|6696|7099|7133|7852|27036,ALOX5|IL1B|CXCL8|IL10|MME|MMP9|PTGS2|CCL2|SELL|SPP1|TLR4|TNFRSF1B|CXCR4|SIGLEC7,-5.9,DEGs
DisGeNET,35,C0154830,Proliferative diabetic retinopathy,,-7.7,6.3,8.3,30337,180,400,15,3.8,0.95,133|2321|3162|3240|3383|3552|3553|3576|3586|4318|6279|6280|6347|56729|114548,ADM|FLT1|HMOX1|HP|ICAM1|IL1A|IL1B|CXCL8|IL10|MMP9|S100A8|S100A9|CCL2|RETN|NLRP3,-5.9,DEGs
DisGeNET,35,C0234251,Inflammatory pain,,-7.7,5.1,7.8,30337,266,400,18,4.5,1,777|1268|2353|2866|3162|3553|3557|3586|5743|6280|6347|7099|7133|7852|23135|23237|27036|114548,CACNA1E|CNR1|FOS|GPR42|HMOX1|IL1B|IL1RN|IL10|PTGS2|S100A9|CCL2|TLR4|TNFRSF1B|CXCR4|KDM6B|ARC|SIGLEC7|NLRP3,-5.9,DEGs
DisGeNET,35,C4721579,Secondary malignant neoplasm of colon and/or rectum,,-7.7,4.2,7.4,30337,397,400,22,5.5,1.1,1084|1839|2069|2212|2215|2321|3576|3579|3598|4318|5473|5743|5788|6347|6406|6515|6573|7056|7099|7852|8794|9021,CEACAM3|HBEGF|EREG|FCGR2A|FCGR3B|FLT1|CXCL8|CXCR2|IL13RA2|MMP9|PPBP|PTGS2|PTPRC|CCL2|SEMG1|SLC2A3|SLC19A1|THBD|TLR4|CXCR4|TNFRSF10C|SOCS3,-5.9,DEGs
DisGeNET,35,C0031046,Pericarditis,,-7.7,13,10,30337,51,400,9,2.2,0.74,1230|2212|3552|3553|3557|3586|4210|7099|114548,CCR1|FCGR2A|IL1A|IL1B|IL1RN|IL10|MEFV|TLR4|NLRP3,-5.9,DEGs
DisGeNET,35,C0002874,Aplastic Anemia,,-7.7,5.4,7.9,30337,237,400,17,4.2,1,654|943|1441|2215|2321|3240|3383|3553|3576|3586|6279|6280|6347|6364|7056|7852|57817,BMP6|TNFRSF8|CSF3R|FCGR3B|FLT1|HP|ICAM1|IL1B|CXCL8|IL10|S100A8|S100A9|CCL2|CCL20|THBD|CXCR4|HAMP,-5.9,DEGs
DisGeNET,35,C0340970,Congenital neutropenia,,-7.7,11,9.7,30337,68,400,10,2.5,0.78,820|1441|3552|3553|3579|5880|6280|7454|7852|10135,CAMP|CSF3R|IL1A|IL1B|CXCR2|RAC2|S100A9|WAS|CXCR4|NAMPT,-5.9,DEGs
DisGeNET,35,C0220597,Adult Hodgkin Lymphoma,,-7.7,4.2,7.4,30337,399,400,22,5.5,1.1,399|943|944|1268|2215|3142|3383|3586|3598|4210|4318|5743|5788|6402|6688|7099|7133|7852|9308|10135|23135|57817,RHOH|TNFRSF8|TNFSF8|CNR1|FCGR3B|HLX|ICAM1|IL10|IL13RA2|MEFV|MMP9|PTGS2|PTPRC|SELL|SPI1|TLR4|TNFRSF1B|CXCR4|CD83|NAMPT|KDM6B|HAMP,-5.9,DEGs
DisGeNET,35,C0027022,Myeloproliferative disease,,-7.7,4.4,7.5,30337,365,400,21,5.2,1.1,240|1118|1441|2321|3576|3656|3718|4318|4778|5008|6279|6280|6283|7099|7133|8809|9021|9839|27036|57126|653361,ALOX5|CHIT1|CSF3R|FLT1|CXCL8|IRAK2|JAK3|MMP9|NFE2|OSM|S100A8|S100A9|S100A12|TLR4|TNFRSF1B|IL18R1|SOCS3|ZEB2|SIGLEC7|CD177|NCF1,-5.9,DEGs
DisGeNET,35,C0036983,Septic Shock,,-7.6,16,11,30337,37,400,8,2,0.7,133|728|2215|3553|3586|7099|7133|91662,ADM|C5AR1|FCGR3B|IL1B|IL10|TLR4|TNFRSF1B|NLRP12,-5.8,DEGs
DisGeNET,35,C0017086,Gangrene,,-7.6,11,9.6,30337,69,400,10,2.5,0.78,929|1230|3586|4210|5328|7099|7133|23569|348938|643418,CD14|CCR1|IL10|MEFV|PLAU|TLR4|TNFRSF1B|PADI4|NIPAL4|LIPN,-5.8,DEGs
DisGeNET,35,C0079773,"Lymphoma, T-Cell, Cutaneous",,-7.6,4.3,7.4,30337,367,400,21,5.2,1.1,943|2353|2354|3385|3552|3553|3576|3586|3684|3689|3718|4923|5743|5788|6364|6402|7133|7852|9021|23237|57580,TNFRSF8|FOS|FOSB|ICAM3|IL1A|IL1B|CXCL8|IL10|ITGAM|ITGB2|JAK3|NTSR1|PTGS2|PTPRC|CCL20|SELL|TNFRSF1B|CXCR4|SOCS3|ARC|PREX1,-5.8,DEGs
DisGeNET,35,C0004936,Mental disorders,,-7.6,3.1,6.8,30337,789,400,32,8,1.4,133|793|820|1268|1439|1903|1960|2268|2316|2353|2354|2358|2866|3290|3383|3553|3557|3576|3586|4318|5142|5552|5743|6531|7454|8870|10215|11202|54210|55824|114548|134864,ADM|CALB1|CAMP|CNR1|CSF2RB|S1PR3|EGR3|FGR|FLNA|FOS|FOSB|FPR2|GPR42|HSD11B1|ICAM1|IL1B|IL1RN|CXCL8|IL10|MMP9|PDE4B|SRGN|PTGS2|SLC6A3|WAS|IER3|OLIG2|KLK8|TREM1|PAG1|NLRP3|TAAR1,-5.8,DEGs
Cell Type Signatures,7,M39105,AIZARANI LIVER C1 NK NKT CELLS 1,,-7.6,6.8,8.4,30337,157,400,14,3.5,0.92,241|963|2316|3689|3936|5788|5880|6503|7133|7852|8530|9595|64333|170954,ALOX5AP|CD53|FLNA|ITGB2|LCP1|PTPRC|RAC2|SLA|TNFRSF1B|CXCR4|CST7|CYTIP|ARHGAP9|PPP1R18,-5.8,DEGs
DisGeNET,35,C0940937,precancerous lesions,,-7.6,5.1,7.7,30337,270,400,18,4.5,1,3249|3383|3552|3553|3557|3576|3586|3853|4318|5743|6279|6354|7099|7130|8794|10763|23135|80183,HPN|ICAM1|IL1A|IL1B|IL1RN|CXCL8|IL10|KRT6A|MMP9|PTGS2|S100A8|CCL7|TLR4|TNFAIP6|TNFRSF10C|NES|KDM6B|RUBCNL,-5.8,DEGs
DisGeNET,35,C1842937,"AURAL ATRESIA, CONGENITAL",,-7.6,8.3,8.8,30337,110,400,12,3,0.85,240|2353|3553|3586|3684|3687|4311|4318|4973|5788|6696|26353,ALOX5|FOS|IL1B|IL10|ITGAM|ITGAX|MME|MMP9|OLR1|PTPRC|SPP1|HSPB8,-5.8,DEGs
DisGeNET,35,C0007789,Cerebral Palsy,,-7.6,5.3,7.8,30337,241,400,17,4.2,1,133|2268|3552|3553|3557|3576|3586|3687|5743|6531|6696|7099|7439|7852|8277|10215|122402,ADM|FGR|IL1A|IL1B|IL1RN|CXCL8|IL10|ITGAX|PTGS2|SLC6A3|SPP1|TLR4|BEST1|CXCR4|TKTL1|OLIG2|TDRD9,-5.8,DEGs
DisGeNET,35,C0023364,Leptospirosis,,-7.6,11,9.5,30337,70,400,10,2.5,0.78,3240|3383|3553|3576|3579|3586|3684|4311|6347|7099,HP|ICAM1|IL1B|CXCL8|CXCR2|IL10|ITGAM|MME|CCL2|TLR4,-5.8,DEGs
DisGeNET,35,C0034068,Pulmonary Eosinophilia,,-7.6,11,9.5,30337,70,400,10,2.5,0.78,3162|3552|3553|3576|3579|5265|6347|9173|58484|114548,HMOX1|IL1A|IL1B|CXCL8|CXCR2|SERPINA1|CCL2|IL1RL1|NLRC4|NLRP3,-5.8,DEGs
DisGeNET,35,C0038354,Stomach Diseases,,-7.6,11,9.5,30337,70,400,10,2.5,0.78,1084|1839|3552|3553|3557|3576|5743|6279|6696|7099,CEACAM3|HBEGF|IL1A|IL1B|IL1RN|CXCL8|PTGS2|S100A8|SPP1|TLR4,-5.8,DEGs
DisGeNET,35,C0278879,Childhood Burkitt Lymphoma,,-7.5,3.8,7.2,30337,477,400,24,6,1.2,240|597|654|943|944|969|1441|2215|2268|3383|3553|3586|3598|3689|4311|5743|5788|6364|7852|8807|8809|30817|140885|338339,ALOX5|BCL2A1|BMP6|TNFRSF8|TNFSF8|CD69|CSF3R|FCGR3B|FGR|ICAM1|IL1B|IL10|IL13RA2|ITGB2|MME|PTGS2|PTPRC|CCL20|CXCR4|IL18RAP|IL18R1|ADGRE2|SIRPA|CLEC4D,-5.8,DEGs
DisGeNET,35,C0747845,early pregnancy,,-7.5,5,7.7,30337,273,400,18,4.5,1,2215|2268|3290|3553|3586|4318|5008|5209|5743|6279|6280|6347|6364|7099|7852|10135|55824|652995,FCGR3B|FGR|HSD11B1|IL1B|IL10|MMP9|OSM|PFKFB3|PTGS2|S100A8|S100A9|CCL2|CCL20|TLR4|CXCR4|NAMPT|PAG1|UCA1,-5.8,DEGs
DisGeNET,35,C0456103,Sepsis of the newborn,,-7.5,13,10,30337,53,400,9,2.2,0.74,929|3552|3586|6283|7099|7852|10135|56729|57817,CD14|IL1A|IL10|S100A12|TLR4|CXCR4|NAMPT|RETN|HAMP,-5.7,DEGs
DisGeNET,35,C0001175,Acquired Immunodeficiency Syndrome,,-7.5,5.3,7.8,30337,243,400,17,4.2,1,722|929|943|2215|3383|3552|3553|3557|3576|3586|4318|5008|5329|6347|7099|7852|23237,C4BPA|CD14|TNFRSF8|FCGR3B|ICAM1|IL1A|IL1B|IL1RN|CXCL8|IL10|MMP9|OSM|PLAUR|CCL2|TLR4|CXCR4|ARC,-5.7,DEGs
DisGeNET,35,C1698626,Small Intestinal Mucositis,,-7.5,76,17,30337,4,400,4,1,0.5,3553|3586|4210|114548,IL1B|IL10|MEFV|NLRP3,-5.7,DEGs
DisGeNET,35,C0852036,Pregnancy associated hypertension,,-7.5,6.1,8.1,30337,186,400,15,3.8,0.95,133|240|2321|3162|3240|3290|3383|3576|3586|4318|5265|5743|6347|6364|100132417,ADM|ALOX5|FLT1|HMOX1|HP|HSD11B1|ICAM1|CXCL8|IL10|MMP9|SERPINA1|PTGS2|CCL2|CCL20|FCGR1CP,-5.7,DEGs
DisGeNET,35,C0398650,Immune thrombocytopenic purpura,,-7.5,4.5,7.5,30337,338,400,20,5,1.1,820|969|2207|2212|2215|3552|3553|3557|3576|3586|4318|5743|5788|6279|6347|7056|7099|7852|9308|114548,CAMP|CD69|FCER1G|FCGR2A|FCGR3B|IL1A|IL1B|IL1RN|CXCL8|IL10|MMP9|PTGS2|PTPRC|S100A8|CCL2|THBD|TLR4|CXCR4|CD83|NLRP3,-5.7,DEGs
DisGeNET,35,C0006413,Burkitt Lymphoma,,-7.5,3.5,7,30337,556,400,26,6.5,1.2,240|399|597|654|943|944|969|1441|2215|2268|3383|3553|3586|3598|3689|4311|5743|5788|6364|7852|8807|8809|30817|114548|140885|338339,ALOX5|RHOH|BCL2A1|BMP6|TNFRSF8|TNFSF8|CD69|CSF3R|FCGR3B|FGR|ICAM1|IL1B|IL10|IL13RA2|ITGB2|MME|PTGS2|PTPRC|CCL20|CXCR4|IL18RAP|IL18R1|ADGRE2|NLRP3|SIRPA|CLEC4D,-5.7,DEGs
Cell Type Signatures,7,M41689,TRAVAGLINI LUNG BASOPHIL MAST 1 CELL,,-7.5,4.9,7.6,30337,276,400,18,4.5,1,241|399|969|1439|2353|2354|4354|5023|5552|5743|5880|5997|7462|8477|8809|9173|53346|64092,ALOX5AP|RHOH|CD69|CSF2RB|FOS|FOSB|MPP1|P2RX1|SRGN|PTGS2|RAC2|RGS2|LAT2|GPR65|IL18R1|IL1RL1|TM6SF1|SAMSN1,-5.7,DEGs
DisGeNET,35,C0026936,Mycoplasma Infections,,-7.5,6.1,8,30337,188,400,15,3.8,0.95,929|3240|3552|3553|3576|3687|4318|4354|4778|6347|7099|7133|27036|54210|114548,CD14|HP|IL1A|IL1B|CXCL8|ITGAX|MMP9|MPP1|NFE2|CCL2|TLR4|TNFRSF1B|SIGLEC7|TREM1|NLRP3,-5.7,DEGs
DisGeNET,35,C0042345,Varicosity,,-7.5,6.1,8,30337,188,400,15,3.8,0.95,133|793|2321|2353|2354|3383|3689|4318|5743|6283|6347|6531|6696|7056|114548,ADM|CALB1|FLT1|FOS|FOSB|ICAM1|ITGB2|MMP9|PTGS2|S100A12|CCL2|SLC6A3|SPP1|THBD|NLRP3,-5.7,DEGs
DisGeNET,35,C3889979,Periodic Fever Syndrome,,-7.4,28,13,30337,16,400,6,1.5,0.61,3552|3553|3557|4210|91662|114548,IL1A|IL1B|IL1RN|MEFV|NLRP12|NLRP3,-5.7,DEGs
DisGeNET,35,C0220668,Congenital contractural arachnodactyly,,-7.4,3.5,7,30337,559,400,26,6.5,1.2,240|929|1084|2012|2069|2215|3162|3383|3553|3576|3586|4318|5328|5743|6279|6280|6615|6696|7099|7852|8140|8794|9021|54210|57817|652995,ALOX5|CD14|CEACAM3|EMP1|EREG|FCGR3B|HMOX1|ICAM1|IL1B|CXCL8|IL10|MMP9|PLAU|PTGS2|S100A8|S100A9|SNAI1|SPP1|TLR4|CXCR4|SLC7A5|TNFRSF10C|SOCS3|TREM1|HAMP|UCA1,-5.7,DEGs
PaGenBase,36,PGB:00094,Cell-specific: Bronchial Epithelial Cells,,-7.4,7.2,8.4,30337,137,400,13,3.2,0.89,1308|1824|1830|3552|3853|3854|3861|3868|5328|5743|6699|7378|9510,COL17A1|DSC2|DSG3|IL1A|KRT6A|KRT6B|KRT14|KRT16|PLAU|PTGS2|SPRR1B|UPP1|ADAMTS1,-5.7,DEGs
COVID,200,COVID264,RNA_Wilk_CD16+Monocytes_patient-C3_Up,,-7.4,16,11,30337,39,400,8,2,0.7,929|2357|3553|6279|6280|8291|9021|653361,CD14|FPR1|IL1B|S100A8|S100A9|DYSF|SOCS3|NCF1,-5.7,DEGs
DisGeNET,35,C0730285,Diabetic macular edema,,-7.4,9.1,9,30337,92,400,11,2.8,0.82,133|929|2321|3383|3553|3557|3576|3586|4318|6347|122402,ADM|CD14|FLT1|ICAM1|IL1B|IL1RN|CXCL8|IL10|MMP9|CCL2|TDRD9,-5.6,DEGs
DisGeNET,35,C0003862,Arthralgia,,-7.4,5.2,7.7,30337,248,400,17,4.2,1,722|1230|3552|3553|3557|3576|3586|4210|4317|5743|6696|7099|9051|23569|58484|91662|114548,C4BPA|CCR1|IL1A|IL1B|IL1RN|CXCL8|IL10|MEFV|MMP8|PTGS2|SPP1|TLR4|PSTPIP1|PADI4|NLRC4|NLRP12|NLRP3,-5.6,DEGs
DisGeNET,35,C0086565,Liver Dysfunction,,-7.4,10,9.3,30337,73,400,10,2.5,0.78,241|1230|3101|3162|4318|5265|6347|7850|9021|54210,ALOX5AP|CCR1|HK3|HMOX1|MMP9|SERPINA1|CCL2|IL1R2|SOCS3|TREM1,-5.6,DEGs
Cell Type Signatures,7,M40146,DESCARTES FETAL ADRENAL MEGAKARYOCYTES,,-7.4,7.9,8.6,30337,115,400,12,3,0.85,5023|5341|5473|10335|23569|64407|80739|83706|146225|199675|100506159|101929559,P2RX1|PLEK|PPBP|IRAG1|PADI4|RGS18|MPIG6B|FERMT3|CMTM2|MCEMP1|LINC02470|PIRAT1,-5.6,DEGs
DisGeNET,35,C0019348,Herpes Simplex Infections,,-7.3,3.3,6.8,30337,645,400,28,7,1.3,820|1230|2215|2353|3162|3383|3553|3576|3586|3684|3689|4001|4311|4318|4923|5265|5328|5743|5788|6347|6700|7056|7099|8685|8740|9021|9595|10763,CAMP|CCR1|FCGR3B|FOS|HMOX1|ICAM1|IL1B|CXCL8|IL10|ITGAM|ITGB2|LMNB1|MME|MMP9|NTSR1|SERPINA1|PLAU|PTGS2|PTPRC|CCL2|SPRR2A|THBD|TLR4|MARCO|TNFSF14|SOCS3|CYTIP|NES,-5.6,DEGs
DisGeNET,35,C3873491,Invasive meningococcal disease,,-7.3,42,14,30337,9,400,5,1.2,0.56,728|929|3576|3586|7099,C5AR1|CD14|CXCL8|IL10|TLR4,-5.6,DEGs
DisGeNET,35,C0242723,Parasitemia,,-7.3,7,8.3,30337,140,400,13,3.2,0.89,383|929|2212|2215|3290|3383|3552|3553|3586|6347|7099|57817|114548,ARG1|CD14|FCGR2A|FCGR3B|HSD11B1|ICAM1|IL1A|IL1B|IL10|CCL2|TLR4|HAMP|NLRP3,-5.6,DEGs
DisGeNET,35,C3850141,Acute-On-Chronic Liver Failure,,-7.3,7,8.3,30337,140,400,13,3.2,0.89,3552|3553|3557|3576|3577|3579|3586|4318|6696|6700|7099|57817|64092,IL1A|IL1B|IL1RN|CXCL8|CXCR1|CXCR2|IL10|MMP9|SPP1|SPRR2A|TLR4|HAMP|SAMSN1,-5.6,DEGs
DisGeNET,35,C0015230,Exanthema,,-7.3,5.1,7.6,30337,251,400,17,4.2,1,399|943|2069|3553|3557|3576|3586|3718|4210|4318|5743|7133|9510|58484|64581|91662|114548,RHOH|TNFRSF8|EREG|IL1B|IL1RN|CXCL8|IL10|JAK3|MEFV|MMP9|PTGS2|TNFRSF1B|ADAMTS1|NLRC4|CLEC7A|NLRP12|NLRP3,-5.6,DEGs
DisGeNET,35,C0009241,Cognition Disorders,,-7.3,3.4,6.8,30337,606,400,27,6.8,1.3,728|793|1089|1268|2354|2866|3162|3553|3586|3684|4311|4318|5138|5743|6347|6515|6696|7099|7133|7454|10215|10804|23237|27036|55824|114548|134864,C5AR1|CALB1|CEACAM4|CNR1|FOSB|GPR42|HMOX1|IL1B|IL10|ITGAM|MME|MMP9|PDE2A|PTGS2|CCL2|SLC2A3|SPP1|TLR4|TNFRSF1B|WAS|OLIG2|GJB6|ARC|SIGLEC7|PAG1|NLRP3|TAAR1,-5.6,DEGs
DisGeNET,35,C0242172,Pelvic Inflammatory Disease,,-7.3,10,9.2,30337,74,400,10,2.5,0.78,2215|3552|3576|3718|4318|5806|6347|7099|7454|56729,FCGR3B|IL1A|CXCL8|JAK3|MMP9|PTX3|CCL2|TLR4|WAS|RETN,-5.6,DEGs
DisGeNET,35,C0014118,Endocarditis,,-7.3,12,9.7,30337,56,400,9,2.2,0.74,1230|2212|3552|3586|4210|4318|4589|7099|7133,CCR1|FCGR2A|IL1A|IL10|MEFV|MMP9|MUC7|TLR4|TNFRSF1B,-5.6,DEGs
DisGeNET,35,C1701940,"Pneumonia, Ventilator-Associated",,-7.3,12,9.7,30337,56,400,9,2.2,0.74,820|3383|3553|3576|5806|6279|6347|7099|54210,CAMP|ICAM1|IL1B|CXCL8|PTX3|S100A8|CCL2|TLR4|TREM1,-5.6,DEGs
