Symbol	ICU_06	ICU_25	ICU_26	ICU_27	NON_07	NON_19	NON_20	NON_22	NON_23	NON_26	NON_28
CCZ1	638	368	564	905	781	979	501	1110	1041	560	271
POLM	481	415	499	830	393	554	361	741	497	546	337
RAMP3	6	12	8	22	2	2	0	0	0	0	6
MRM2	1	1	0	0	0	0	0	0	0	0	0
TWIST1	2	60	10	73	18	2	0	2	4	0	4
SMU1	3934	2327	1954	3082	3362	2513	1764	3674	3521	3002	2834
GLIPR2	7205	1811	6034	10845	3848	4918	3617	6468	9030	12659	6369
SLC25A51	290	235	215	204	165	109	103	216	111	242	208
CLTA	7106	6142	5092	6061	7002	6935	4525	7026	10138	19293	4895
RECK	94	12	18	84	59	48	133	242	94	48	89
SPINK4	6	46	10	2	2	16	4	16	2	70	12
TAF1L	0	0	2	0	1	0	0	0	0	0	0
ACO1	1317	571	460	749	1136	759	506	816	1241	721	530
PHF24	10	34	100	80	6	6	4	20	16	8	4
DNAI1	4302	753	99	4659	7385	9065	5065	13607	12504	9876	6241
DCAF10	2421	1436	634	1240	1505	944	1283	2452	1473	1015	1768
CNTFR	0	2	0	0	0	4	2	0	0	5	2
KIAA1549	515	299	94	333	650	784	684	1397	826	539	572
TRIM24	4670	2310	842	1641	2469	1841	2424	4925	2421	1198	2879
CYREN	552	287	1102	756	282	243	197	423	243	247	247
CALD1	730	579	163	464	865	105	274	460	250	58	642
AKR1D1	2	2	0	0	19	6	2	4	0	2	0
NUDT10	148	28	6	16	56	58	58	106	42	38	64
SFTPA1	0	0	0	0	0	2	0	0	0	0	0
NEUROG3	0	0	0	0	0	0	0	0	0	0	0
PLAU	3166	2599	26488	20710	2149	1011	168	546	1013	530	185
SRGN	113528	64544	141864	308914	7164	17458	1604	3112	3944	2850	1150
CHST3	388	215	72	327	498	279	136	337	230	395	301
BICC1	572	158	21	618	218	245	834	2141	476	440	895
ARL4AP1	0	4	0	0	0	6	6	6	1	2	0
CISD1	3022	1798	456	1701	2676	1832	2812	4407	2512	3541	2401
EGR2	637	322	1501	1522	50	98	6	90	66	8	450
ECD	1734	1078	854	1213	1090	1182	1080	1539	1216	803	1241
P4HA1	2991	1645	941	3257	3414	1156	2322	6711	2837	1882	4279
SLC25A16	1091	1146	498	791	672	803	1112	1978	944	766	949
ZWINT	496	1194	278	658	514	756	478	928	252	390	268
VPS26A	6903	5368	3545	4671	3528	3027	3825	6653	4347	2616	4212
RBM19	621	421	460	617	536	878	398	736	696	669	519
CIT	1610	1111	368	2282	2133	1182	1445	2738	1327	1546	609
IFT81	2044	515	108	1105	2067	1258	2258	5528	1917	1042	2963
ACADS	784	406	258	904	825	1379	975	1482	1146	1460	1290
HVCN1	132	60	100	122	94	138	96	247	182	81	104
NME2P1	14	27	1	2	6	11	9	20	6	41	6
DDX54	819	541	619	1253	1038	1258	756	1423	1353	1927	840
MED13L	3490	2029	3000	4606	1571	1522	1621	3128	1163	805	1910
CDKN2C	1522	830	294	803	1351	1170	1400	1969	1057	779	1514
RNF11	7867	6286	3572	6184	4264	2620	5777	11960	5048	4383	5627
RASSF8	972	360	114	584	648	242	406	648	372	180	1145
BHLHE41	1085	611	261	694	457	698	2886	3426	1283	529	3570
SSPN	615	118	61	138	381	368	941	1025	736	220	997
ITPR2	681	351	620	1113	445	271	197	576	186	61	301
CCDC91	1707	917	228	1116	1362	1208	1777	2918	1680	915	2098
NECAB1	559	212	18	59	118	128	478	400	37	70	173
WWP1	3615	2299	1083	2152	2171	1703	2732	4652	2428	1441	3503
ACOT9	3035	2756	3633	4890	1875	2107	1209	2934	2892	2873	1779
PRDX4	4205	3347	992	2928	3339	3737	3549	5605	3526	4745	3948
DDX39A	2902	3019	3417	3584	1758	2473	1686	3972	2682	2916	2332
PKN1	947	395	2031	2262	1206	1488	973	1488	1682	5206	1290
TRIR	4906	3696	2980	5349	4617	4886	2469	4405	5466	15577	3748
ADGRE5	5968	2393	13345	13487	2362	3489	1024	2333	3300	5852	650
WDR83	148	70	109	154	223	296	110	240	241	610	193
GIPC1	4400	5159	7550	7987	4996	6278	3431	5902	6717	11883	3434
ACTRT1	4	0	0	0	0	0	0	0	0	0	0
CCDC70	4	6	0	2	0	2	2	5	4	8	0
SPRYD7	1192	634	202	593	656	707	918	1644	837	585	1013
EBPL	3423	1557	322	1189	2728	2481	1781	3636	2423	2349	1858
ATP7B	3350	779	296	1198	2941	4377	2836	5214	1314	1821	3222
ZC3H13	3537	2087	1050	1629	1984	1366	1734	3376	2397	686	2402
GUCY1B2	21	131	4	32	64	232	133	394	207	116	224
NLN	925	564	851	430	475	498	367	574	444	254	518
CENPK	413	288	63	381	363	308	437	1446	342	128	268
OPTN	5027	5091	5556	4559	4225	5310	3461	5773	9076	5846	8275
ITIH5	76	5	1	74	93	41	76	204	52	34	73
ATF1	1520	1116	524	711	802	322	569	1350	515	650	746
TSFM	8	1	2	9	1	6	9	9	7	5	14
NEUROD4	0	0	12	2	0	0	0	0	0	0	0
ARHGAP9	5193	2955	8848	9588	581	1755	143	294	587	199	115
NCKAP1L	885	597	2261	1945	201	492	149	294	434	141	144
MMP19	598	660	2363	6546	86	57	26	120	18	141	18
PFDN5	258	115	299	260	246	252	155	368	188	135	198
SPATS2	815	638	274	490	900	728	573	1113	568	751	550
ORMDL2	903	549	418	954	827	899	413	795	1171	1439	585
NR4A1	198	109	3485	1853	216	70	33	104	51	579	234
PDE1B	96	113	110	128	26	69	17	20	46	2	6
HOXC13	0	0	0	0	0	0	0	0	0	0	0
CDK2	533	565	585	634	440	329	217	474	277	182	292
LRP1	2509	1810	2891	3742	2191	1002	915	1880	1815	1658	1437
HOXC11	0	12	2	0	0	0	0	4	0	0	0
ATG101	633	385	517	685	501	440	310	517	506	689	523
NFE2	3161	665	2857	3013	188	870	30	28	61	64	10
HOXC12	0	0	0	0	0	0	0	0	0	0	0
IKZF4	445	258	118	353	356	418	277	638	386	430	244
SMUG1	1677	890	591	1334	1428	1314	1127	1887	1587	1942	1389
TUBA1B	1514	1078	1387	3240	1519	1432	817	1692	744	1093	1237
EEF1AKMT3	482	294	103	281	410	470	430	670	366	209	539
KBTBD4	151	30	106	200	142	146	115	119	79	66	110
TYRL	0	0	0	0	0	0	0	0	0	0	0
SARDH	13	0	0	6	8	2	2	4	20	8	2
DBH	0	0	0	0	0	0	0	0	0	0	0
ATPAF1	2272	1087	513	1216	1956	1673	1332	2138	2189	2719	1698
STIL	1220	674	134	679	948	1009	854	1849	1099	916	618
HJURP	175	686	160	201	189	162	64	181	60	22	62
IL13RA2	54	38	38	111	22	16	0	10	0	0	0
COL10A1	14	38	36	18	39	22	27	35	27	4	25
AMD1	10129	12090	5375	6664	3960	4093	4624	10171	3935	3837	4145
NDUFAF4	1260	1256	146	409	845	691	833	1672	912	1016	934
USP45	685	462	23	387	459	354	511	1223	409	277	420
PLP1	0	2	0	6	12	0	2	4	0	0	6
SERPINA7	0	0	0	0	0	0	0	0	0	0	0
MORF4L2	22512	13957	5502	16067	15406	10551	15389	28870	16841	13461	17240
H2BW1	2	2	0	0	0	0	2	0	0	0	0
RAB9B	70	12	4	8	54	22	52	86	80	70	64
NRK	0	0	0	0	2	0	0	0	0	0	0
FAM199X	3414	1904	557	1927	1979	1664	2470	4668	2103	1150	2741
ESX1	0	0	0	0	0	0	0	0	0	0	0
MAGEA9	0	0	0	0	0	0	6	0	0	0	0
ATXN3L	0	0	0	0	0	0	0	0	0	0	0
RAB9A	2110	2276	2499	1921	1405	1297	1203	2176	1530	1501	1349
METTL8	549	597	157	286	428	403	386	752	503	146	616
TTC21B	1321	415	107	1252	2417	1420	1938	5139	2635	1350	2399
NMI	4036	2259	1612	4818	1936	1910	1696	3847	3730	1601	4120
TNFAIP6	3197	1911	6564	22542	767	167	28	58	137	202	107
ACVR1C	28	60	28	22	12	0	32	48	16	0	12
BAZ2B	4901	2290	1845	3510	3002	1887	3211	5582	3741	1169	3456
SLC36A1	550	899	1187	713	301	581	267	358	438	172	166
LPGAT1	7014	3531	1850	5721	4477	4273	6813	12468	6778	2450	6581
BATF3	116	50	63	190	66	56	24	82	91	94	60
G0S2	36358	6570	45802	81337	5075	9218	344	332	1256	1662	168
KCNJ2	2144	382	845	3708	1206	490	650	1140	1012	208	856
RAP2C	3378	2738	2507	3837	1440	966	1135	2722	1418	672	1151
EXOSC9	833	944	429	688	590	938	718	1415	829	507	981
PLA2G12A	1028	613	226	602	658	675	1019	1813	728	519	902
B9D2	788	167	262	983	1028	1666	861	1585	1453	5644	844
COQ8B	1913	653	552	2682	1952	2836	1771	4206	2697	3774	2164
PFKFB2	2812	3681	1811	2180	1694	2128	3396	5649	1815	950	1848
C4BPA	1472	92	60	383	10	36	22	9	35	8	0
C4BPB	212	215	98	82	78	764	135	159	206	124	79
ZNF137P	141	116	6	84	74	58	39	96	88	21	77
RAB38	1403	1987	644	1037	1123	768	500	872	746	392	1051
GPR83	34	42	4	20	70	52	58	138	42	30	14
AGO2	4422	3083	3602	4780	2618	2558	2457	5357	2739	2202	2446
MXD4	1718	677	378	1945	1680	1853	1269	2218	1947	4675	1557
PMS2P5	8	27	20	18	4	11	11	16	6	14	12
CKS2	2091	2859	1163	993	1222	560	626	1867	1134	1852	430
DAW1	4727	1257	274	2481	3868	2538	6883	7855	6400	6654	5345
ACSL3	10690	5408	6206	6489	4899	6510	5991	11405	6309	3365	5721
CHPF	1836	1309	988	2479	1924	1695	732	1340	1141	3276	939
DNPEP	1678	1252	1018	1462	1230	3231	1177	2388	1890	2329	2016
INHA	16	6	14	14	21	92	12	62	14	10	24
MOGAT1	0	0	10	3	0	3	0	0	0	0	0
OBSL1	1004	379	228	1104	1577	1875	573	1221	888	1230	1656
FAM124B	18	6	0	8	4	2	2	14	0	4	0
SLC12A4	514	303	205	692	579	236	172	376	350	467	320
ENKD1	1189	376	228	2189	2476	2740	1878	4259	3959	9903	2197
MC3R	0	10	6	0	0	0	0	0	0	0	0
GCNT7	8	0	21	36	0	3	7	9	7	1	0
CTCFL	0	13	9	0	5	0	0	8	2	0	2
HMGB1P1	44	26	10	25	19	63	26	18	70	35	47
FAM210B	4332	1899	847	2444	4242	5635	4306	5032	5103	6163	4858
PI3	30454	28623	47070	48752	15474	23031	3835	7837	4786	13314	1995
FAM209A	108	45	57	175	12	36	23	34	27	1	17
SNX21	562	451	244	475	420	698	486	925	786	787	593
SLPI	395571	200491	61366	180636	494455	186011	244725	425685	217350	428185	356673
WFDC3	526	278	213	60	674	180	109	22	36	1113	51
TTPAL	1375	878	1478	1399	816	857	755	1446	1050	821	915
PREX1	7341	2534	20647	23128	756	1943	851	1297	542	525	285
KCNS1	254	123	333	238	82	40	22	54	51	16	8
SLC12A5	8	8	0	2	1	2	2	8	6	4	4
ARHGAP40	48	184	351	350	40	512	56	238	50	148	82
SDC4	11444	10201	6430	11599	11044	16475	10995	17378	16835	9888	12838
NCOA3	3167	2463	1823	2359	1774	2152	1557	2802	2418	1294	1607
PIGT	2817	2055	2176	3470	2750	5512	2858	4535	3398	4276	2895
SEMG2	38	34	42	44	14	28	58	48	0	20	0
MATN4	19	19	30	16	4	34	18	22	10	12	11
NCOA5	1398	882	562	986	1362	1705	736	1532	1508	2094	838
VAPB	2730	1667	1250	1906	2620	2530	1886	3258	2532	2872	2068
PARD6B	1928	1887	831	1029	1242	839	1940	3570	1362	701	1586
ATP5F1E	24380	15792	7028	15474	20201	20167	19040	27280	31067	53032	19886
CHD6	3070	1361	343	1219	2299	1958	2560	5050	2393	850	3157
PLCG1	898	615	322	670	774	1033	593	851	944	360	603
TOX2	10	8	2	29	0	17	0	2	20	2	2
SRSF6	20666	8898	2450	7484	15907	9962	11240	21696	19881	7124	16952
GDAP1L1	0	0	0	2	0	2	0	0	0	1	0
GTSF1L	2	0	0	0	0	0	0	0	0	0	0
ARFGEF2	2904	2811	1695	2086	1626	1610	2197	4369	1722	668	2616
ZNFX1	2950	2154	3979	4752	1798	3271	1276	3075	4040	2253	4263
ZNF831	50	2	4	10	24	26	34	54	55	8	14
EDN3	0	0	0	0	2	0	0	0	0	0	0
CSE1L	4118	3472	825	2307	3484	2627	2267	5063	3535	2292	3572
PEDS1-UBE2V1	0	0	0	0	0	0	0	0	0	0	0
RAB22A	4015	4045	2890	3366	2303	2579	2465	4304	2765	2164	2811
PTGIS	0	24	0	2	4	0	0	0	0	0	0
STAU1	6749	5122	3749	6458	7130	4758	4401	8241	7517	7558	5618
CDH26	2754	1542	467	1822	3016	2477	1442	3395	2433	2621	1361
SNAI1	86	264	701	372	16	24	2	18	6	0	0
MOCS3	588	345	132	540	577	406	546	1046	748	870	492
STX16	3650	1376	1355	3228	3469	2485	1746	4410	3102	2208	2329
PPP4R1L	733	528	1274	1156	432	321	275	559	362	297	254
PMEPA1	681	867	631	1098	1351	250	122	446	518	995	342
RNF114	3810	1822	1773	2791	2790	3166	1846	4265	4021	3798	2933
ANKRD60	0	0	0	0	0	0	0	0	0	0	0
DDX27	1681	1339	774	1290	1330	1351	1199	1935	1789	1737	1231
RBPJL	1	1	0	0	0	0	0	2	0	0	1
SEMG1	57	38	245	127	12	24	4	10	2	0	0
CIMIP1	16100	4224	968	17536	32394	19660	22276	39228	42681	126231	15419
BCAS4	321	181	128	557	475	764	445	800	1119	1613	448
KCNK15	42	73	14	27	20	9	22	16	13	125	17
TP53TG5	19	12	21	25	20	23	13	21	8	14	15
PCK1	0	0	0	0	0	0	0	0	0	0	0
ZBP1	384	90	270	958	1	90	16	77	91	24	574
NEURL2	37	66	1	17	11	84	63	60	32	46	4
MAGEA10	2	6	0	0	4	0	4	2	6	6	0
MTRR	2305	1128	298	1210	1203	1036	1187	2608	1251	824	1493
FASTKD3	1218	740	144	438	797	655	1125	1877	920	451	730
PEPD	1669	1000	696	1259	916	1484	1308	1569	1403	1560	1532
CHST8	0	0	0	0	0	0	0	6	0	0	0
IQSEC2	505	384	328	534	495	810	448	875	613	1194	510
VAMP7	2640	2092	1027	2172	1517	2128	2735	4876	1684	1070	2182
IL9R	0	2	8	6	1	0	0	0	15	4	1
XG	55	87	108	66	37	70	91	135	77	198	57
STAMBP	2617	1978	1206	1622	2011	2194	1782	3173	2055	1571	2177
NAGK	3839	2289	3859	4704	2487	2773	1478	2361	3775	3471	2022
MCEE	1533	520	208	540	852	961	1269	1605	1129	760	1361
PAIP2B	521	135	40	339	760	419	632	1166	681	1095	607
SNRNP27	1373	1120	676	825	1019	847	934	1850	932	890	885
MPHOSPH10	2632	1754	600	1190	1529	1377	1703	2755	2228	1100	1976
IL17C	6	14	63	58	158	6	4	2	0	0	1
NDUFB4P12	0	4	0	6	2	2	14	6	2	6	6
ATP8A1	1896	378	152	526	1201	546	1238	1897	629	168	1421
USP22	2246	1170	2027	2238	2232	1556	902	1516	1667	2115	1292
POF1B	2655	2070	913	1073	1434	1012	951	2021	2312	1179	1464
HIF3A	44	31	12	4	189	108	188	254	62	40	10
ZNF576	608	274	220	410	545	278	326	539	532	985	380
IRGC	2	0	28	16	0	0	0	0	0	2	0
ZNF45	868	568	254	446	505	536	700	1086	578	211	672
LYPD3	2008	8745	8652	3642	432	308	140	1105	184	142	344
PSG8	0	2	0	0	0	0	0	0	0	0	0
CEACAM8	4	54	14	12	2	3	0	1	0	4	0
NDP	48	6	0	32	12	12	0	8	0	0	4
USP9X	7385	3814	5707	7975	4434	5279	3995	8430	4734	2546	4869
CRISP2	498	54	12	179	187	104	656	621	740	1036	209
F13A1	124	200	192	128	50	207	54	35	70	0	14
GRM4	14	7	8	0	58	10	3	16	22	52	8
TRERF1	1945	1159	362	1050	1284	812	1409	3091	874	376	1098
PACSIN1	8	10	36	26	24	50	16	48	26	42	20
BTN2A2	676	271	458	845	540	802	365	797	1429	174	397
SIRT5	1661	733	209	796	1603	1332	1249	2408	1995	1563	1637
MRS2	2189	1356	317	1108	1359	1643	2221	4092	1619	1091	2085
WRNIP1	2789	1775	848	2301	2766	2136	1934	3514	2803	2464	2137
RRP36	1372	1082	809	1016	983	1537	780	1307	1257	1856	883
BTN2A3P	46	95	62	68	49	99	29	92	108	33	64
BTN1A1	0	4	10	4	1	0	0	0	0	2	2
SNRPC	2619	1463	1200	1894	2696	3344	2275	3649	3514	7941	2748
SLC17A3	10	0	0	2	0	0	0	0	0	0	0
SLC17A1	0	0	0	0	0	0	0	0	0	0	0
SERPINB6	6511	3844	2815	6762	8532	7700	6240	10899	11553	12642	6640
XPO5	1120	1078	503	835	950	1626	775	1725	1322	1085	936
ABCC10	476	196	162	597	564	626	266	608	474	428	430
H1-3	8	14	20	37	14	2	0	0	3	6	0
PEX6	1444	367	157	1319	1666	790	556	1176	2186	4272	486
NQO2	1348	1699	2059	1842	860	2242	1002	1589	1453	1982	981
OARD1	2997	1258	563	1214	2300	2206	2382	3640	3242	2449	2909
UNC5CL	198	118	87	122	174	443	269	566	270	80	276
AARS2	549	334	174	438	480	444	250	573	507	488	288
H1-1	0	4	0	2	0	2	2	0	0	0	1
ZNF391	536	138	28	212	573	383	514	804	412	314	648
RPS10	187	155	43	57	180	154	120	270	191	134	144
MOCS1	116	76	18	84	66	64	39	71	58	102	52
H2BC11	221	195	438	496	270	297	318	441	286	723	19
MED20	1106	664	236	512	877	450	510	1044	881	766	718
OR2B6	4	33	2	11	8	3	2	8	5	8	0
TBCC	1066	650	784	892	858	838	570	1170	998	950	750
SPDEF	2046	1800	3091	2050	1838	3897	1090	2217	1526	3125	1837
TCP11	34	36	2	59	100	81	92	294	78	386	46
MAD2L1BP	1882	1676	1138	1307	1572	1849	1306	2235	2036	1954	2040
APOBEC2	30	17	0	4	5	17	10	22	15	3	28
KLHDC3	2166	986	1332	2161	2558	2858	1412	2664	2567	4989	1764
GNMT	158	73	36	195	227	359	555	600	250	373	195
DNAH8	2	15	0	2	11	3	7	3	3	5	1
TREM1	11816	4928	38953	45209	765	4276	177	104	259	511	20
MEA1	2493	1299	1301	1674	2275	2998	1664	2512	2749	4777	2520
KLHL31	470	211	0	62	316	207	343	633	278	69	505
COL21A1	2662	624	50	1182	1209	1706	2211	5705	2639	411	3312
CDKN1A	5234	4877	20975	19715	4004	3100	1179	2752	5422	11117	1891
SOX4	7482	7024	1623	2109	4102	1380	1688	3448	4975	4204	2517
GLO1	3958	2983	1516	2831	3965	2388	4084	7331	5683	4182	4556
CPNE5	188	72	386	481	27	50	6	16	28	18	18
KCNK17	0	0	0	4	22	14	10	8	10	0	2
RREB1	3647	3337	1603	2023	2206	2327	2201	4134	2832	1860	2469
SSR1	9713	7176	2436	6784	5925	4379	4461	8492	5083	4121	5363
RIOK1	1337	1339	384	688	1009	891	853	1826	1212	770	1079
NRN1	58	42	10	34	6	38	5	19	13	6	17
SLC35B3	4940	1857	752	1920	2851	1639	3124	5926	4141	2137	3274
RPP40	435	249	32	145	314	321	251	615	340	376	305
ATXN1	3193	2229	2456	4440	2338	1571	1726	3552	2259	1365	1759
NUP153	1978	1584	1347	2147	1080	1295	1393	3055	1360	834	1556
DEK	6856	5524	2842	5748	4222	2115	4051	8363	4355	2169	5269
EEF1E1	1708	1079	181	812	1007	699	899	1944	1353	893	897
CRISP1	0	2	0	0	0	0	0	2	0	2	0
RUNX2	1893	1200	674	1229	1529	823	845	1671	811	680	1125
OPN5	12	14	10	0	0	12	1	24	20	0	2
GCM2	0	0	0	0	0	0	0	0	0	0	0
LRRFIP1	5677	5168	7716	11040	4778	3921	4862	9849	5278	6196	5840
RAB17	1041	993	652	1193	878	2309	964	1805	1467	1698	639
CXCL6	2749	6937	1084	4235	2764	924	826	2685	634	656	590
EREG	560	3291	4000	4769	111	54	38	102	32	72	10
TRIM51	0	0	2	0	0	0	0	0	0	0	0
MYRF-AS1	1	0	0	3	0	4	0	8	13	15	5
MYRF	430	167	343	278	22	1345	97	412	432	204	137
SCGB1D2	14	22	166	0	10	4	12	6	6	10	8
SCGB2A1	4266	3078	276	4421	7369	7863	11754	14998	6943	8470	7962
AHNAK	20024	16722	11848	22868	21591	24516	19363	33611	26065	11734	18500
EMC3	5244	3918	4116	4513	4483	5879	4167	6454	5302	4777	4167
SSUH2	30	28	22	46	46	74	216	626	1236	525	165
WNT1	2	6	0	4	0	4	4	2	16	0	4
SH3TC1	669	617	449	1152	538	449	183	426	270	408	340
CNOT1	1913	1541	3351	3541	1524	1737	872	1615	1112	798	1322
FBXL9P	154	12	42	138	148	160	146	294	242	250	162
BBS2	1378	445	188	634	1285	1024	1334	2758	1455	858	1401
MT1G	438	166	5584	6405	249	668	224	946	221	4711	495
MT2A	2953	3041	9309	17683	8176	4700	2194	6173	4103	43602	10375
PHAF1	424	374	658	542	363	542	256	568	392	355	434
GOT2	5439	4105	1800	2883	4082	5512	3146	4632	4350	5468	3073
DOK4	839	672	390	1040	797	985	438	825	841	1064	579
PIWIL1	10	5	0	0	1	0	2	3	0	4	6
GPR18	128	50	268	186	15	22	18	32	78	9	6
CLYBL	418	179	43	137	229	256	306	527	333	334	381
TMTC4	1290	667	137	430	1406	768	1051	1971	1277	727	962
RAP2A	1408	1320	398	751	780	586	790	1460	784	486	976
SLC10A2	1	0	0	0	0	0	0	0	0	0	0
ABCC4	3554	908	134	344	1578	1413	1151	1413	859	152	1846
EFNB2	741	1681	1114	533	514	224	453	743	518	262	631
SOX21	1650	1402	160	705	837	702	1012	1706	1244	726	1101
TM9SF2	23836	15335	5083	17697	17828	13852	16291	28774	20658	11839	18739
HROB	58	143	40	83	70	189	130	237	56	218	40
KIF25	8	12	4	4	14	11	8	27	22	16	2
IRF1	9006	3620	5925	9522	3090	6382	2332	4686	11159	3898	8007
UPF3B	1412	902	431	680	1213	656	1331	2011	1456	1067	813
RNF113A	1029	495	341	581	684	1013	666	1080	911	1040	671
SEPTIN6	701	311	429	648	338	456	294	510	655	364	285
TMEM255A	30	28	16	47	4	10	26	58	8	4	14
NDUFA1	9128	6433	2087	4625	7657	8492	7105	9776	9753	16958	7833
AMELX	2	10	0	0	0	0	0	7	0	6	0
DMAC2L	488	342	148	431	317	523	659	1134	611	441	484
BMP4	201	182	16	24	96	34	66	88	518	74	126
PTGER2	555	443	568	548	802	526	668	830	1058	829	618
RPL32P21	0	0	0	0	0	0	0	0	0	0	0
FAM193A	734	407	620	803	574	675	277	957	597	927	416
GRK4	96	38	56	55	151	120	92	166	141	141	137
SOX9	892	1572	524	853	1410	400	876	574	1476	626	598
TEKT3	273	130	16	410	343	151	824	1775	1496	1022	1233
MYH2	0	0	0	0	0	0	0	0	0	2	0
HS3ST3B1	730	645	1215	1973	226	129	180	286	116	64	96
SLC25A35	265	113	44	128	256	540	342	593	251	240	127
MRPS7	1608	1307	520	1485	1608	2026	1185	2251	2273	3719	1579
GGA3	1347	1270	1744	1740	874	1354	654	1330	1079	1037	627
ARMC7	558	406	284	321	617	634	326	608	757	1058	371
NUP85	1703	1127	623	1170	1488	2276	1152	2268	1940	1709	1259
SLC25A19	115	63	147	176	133	80	98	137	88	150	94
MIF4GD	608	306	308	516	540	1054	802	1271	749	880	984
NT5C	1123	657	360	975	977	1757	906	1417	1624	2303	1488
MSTO1	317	381	138	358	270	591	192	407	291	525	256
MIR9-1HG	24	80	198	88	22	12	8	11	16	34	7
TTF1	487	300	627	490	524	340	446	717	558	485	476
GTF3C4	1996	1285	273	942	1466	1221	1261	2392	2060	1237	1592
DDX31	627	538	96	330	404	734	581	1181	695	448	685
BARHL1	2	0	0	2	2	2	2	4	0	0	0
KIR2DL1	2	2	0	0	0	2	0	0	0	0	0
PPP1R12C	2098	1985	4063	3881	1098	3521	1386	2790	2257	2215	1503
MBOAT7	6498	1680	8997	20171	2749	3047	923	2287	2306	3242	1071
SRMS	29	38	29	130	25	111	55	108	129	72	22
OPRL1	6	0	0	20	0	0	0	0	0	1	4
LINC00029	0	0	0	0	0	0	0	0	0	0	0
SLC2A4RG	1091	580	879	1228	1257	2307	576	1171	1125	1544	1484
NPBWR2	0	0	0	0	0	0	0	0	0	0	0
FNDC11	290	24	35	410	454	118	184	482	584	1564	176
BHLHE23	0	0	0	0	0	0	0	0	0	0	0
PPDPF	2726	2176	4978	8328	4387	5487	1619	2673	4601	27165	4071
IL1B	29903	5964	98778	169713	4562	7283	131	360	1094	3685	164
PLGLB2	15	2	0	0	8	2	6	2	2	16	4
IL37	12	4	14	6	7	33	4	58	180	18	45
CHCHD5	865	362	542	796	1038	1559	689	1711	1871	4524	1156
PAX8	71	128	110	92	10	15	41	63	116	80	10
INSIG2	1798	1102	378	910	1046	548	871	1627	884	430	1145
POLR1B	1387	1056	281	671	1075	1085	903	2355	1303	916	1476
HTR5BP	4	7	0	9	0	2	2	0	0	0	0
CCDC93	2793	2352	3629	2280	1572	1719	1231	2139	2111	985	1312
PSD4	1682	1390	2322	3052	1084	1767	716	1629	1496	1804	1143
SLC25A23	858	600	2025	2216	889	1613	414	1293	765	2174	988
PSPN	137	51	35	90	212	64	42	111	160	532	52
GTF2F1	1519	1324	1563	2187	1585	2014	881	2287	1975	4316	1513
ALKBH7	1785	847	559	1334	1833	2153	1708	2559	2517	6616	2940
CLPP	777	674	589	1002	802	1015	593	914	979	2987	772
TNFSF9	56	260	709	845	50	30	10	24	38	10	24
GRIA3	10	9	2	6	12	0	0	7	0	2	6
THOC2	2959	2184	933	1969	2462	1690	3281	5096	2455	1708	2812
MED1	1441	1108	538	1048	1218	1107	1140	2028	1298	884	1112
RPL23	53678	36947	13562	23875	50740	39706	30905	46127	47474	62360	65103
ATG4C	886	311	178	272	571	237	395	861	535	264	381
CD70	16	0	26	7	8	2	3	4	18	0	6
C3	18664	4145	7383	24500	24461	17399	7250	17179	22602	24816	6085
SH2D3A	741	850	1408	2646	773	914	426	789	676	2177	792
TRIP10	1818	2443	11643	6185	1653	2303	463	1303	1106	1818	686
GPR108	3829	1680	6297	5860	2108	2776	1375	2374	2258	2611	2094
TNFSF14	1893	606	7721	4222	730	164	26	324	304	80	20
FOSB	952	1232	12582	4781	356	610	20	132	166	498	326
OPA3	685	532	712	1162	637	629	428	648	700	1206	436
SNRPD2	6363	3788	2082	3339	6174	7005	3976	6539	7569	12452	7602
RTN2	326	122	275	633	166	174	90	124	90	116	88
EML2	1489	626	758	1844	1615	1516	751	1328	1335	1878	1364
VASP	12268	7078	21893	35460	2715	5406	1714	2565	2689	3763	1502
SYMPK	1345	805	810	2132	1668	1843	1008	1956	1794	3419	1120
GPCPD1	9409	4219	21633	12262	2960	2818	2602	5491	3827	2229	2900
SDCBP2	2990	5043	8267	3973	1176	1730	1661	3084	3261	3780	1141
PANK2	1573	1087	958	1697	1413	1111	1035	1758	1801	1417	1531
TGM3	1	0	127	153	0	2	2	6	8	20	5
GNRH2	5	16	0	5	0	10	4	1	6	19	2
DEFB126	0	0	0	0	2	0	2	2	0	4	0
FOXA2	4	12	0	0	0	0	0	0	4	0	0
FAM182A	46	13	1	29	12	134	99	311	162	416	109
CD93	4094	2342	11674	13159	217	532	114	238	222	114	69
GZF1	1449	920	1623	2452	910	787	680	1444	838	572	810
PAX1	2	14	8	28	8	0	2	12	0	4	2
NAPB	1611	1020	274	740	1452	1076	1206	2366	1846	728	1192
CST8	0	12	4	0	12	2	0	0	0	0	0
NKX2-4	0	0	0	0	0	0	0	0	0	0	0
CENPB	1708	1236	1354	1926	1776	1844	1150	1928	1988	2614	1987
PSMF1	2009	1850	1827	2434	2197	3201	2353	4363	3507	5785	2959
NKX2-2	0	0	0	0	0	0	0	0	0	1	0
DTD1	580	409	208	443	472	1032	660	909	868	1183	749
CSTL1	30	0	0	4	30	12	4	38	30	45	10
RBCK1	2803	1368	1465	4096	2167	3304	1317	2974	3374	4281	3288
TMX4	4719	2451	2825	3906	3974	3208	3985	7172	3529	2221	5258
CST11	0	0	0	2	0	4	6	3	0	6	0
