Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Cell Type Signatures,7,M41686,TRAVAGLINI LUNG NATURAL KILLER CELL,,-4.3,5.4,5.8,30337,132,380,9,2.4,0.78,639|864|924|3689|8519|9516|51411|53637|387882,PRDM1|RUNX3|CD7|ITGB2|IFITM1|LITAF|BIN2|S1PR5|C12orf75,-1.6,MyList
DisGeNET,35,C1306503,Congenital exomphalos,,-4.3,4.1,5.3,30337,235,380,12,3.2,0.9,1312|1788|1855|3339|3955|4035|4784|26053|54453|64359|83879|85358,COMT|DNMT3A|DVL1|HSPG2|LFNG|LRP1|NFIX|AUTS2|RIN2|NXN|CDCA7|SHANK3,-1.6,MyList
Cell Type Signatures,7,M39051,MANNO MIDBRAIN NEUROTYPES HMGL,,-4.3,2.8,4.8,30337,577,380,20,5.3,1.1,240|639|832|864|2621|3315|3689|4155|4772|4773|5578|6886|9516|23526|51411|54453|54863|147138|221472|387882,ALOX5|PRDM1|CAPZB|RUNX3|GAS6|HSPB1|ITGB2|MBP|NFATC1|NFATC2|PRKCA|TAL1|LITAF|ARHGAP45|BIN2|RIN2|TOR4A|TMC8|FGD2|C12orf75,-1.6,MyList
DisGeNET,35,C0079772,T-Cell Lymphoma,,-4.3,3,4.9,30337,485,380,18,4.7,1.1,639|864|1788|2956|3559|4035|4772|5133|5293|5771|6886|7161|9825|10801|23136|51477|54897|374569,PRDM1|RUNX3|DNMT3A|MSH6|IL2RA|LRP1|NFATC1|PDCD1|PIK3CD|PTPN2|TAL1|TP73|SPATA2|SEPTIN9|EPB41L3|ISYNA1|CASZ1|ASPG,-1.6,MyList
Transcription Factor Targets,16,M217,VDR Q6,,-4.3,3.8,5.2,30337,276,380,13,3.4,0.93,575|1788|3202|3216|7022|9314|11187|22859|25862|55684|58504|84628|374655,ADGRB1|DNMT3A|HOXA5|HOXB6|TFAP2C|KLF4|PKP3|ADGRL1|USP49|RABL6|ARHGAP22|NTNG2|ZNF710,-1.6,MyList
Cell Type Signatures,7,M39236,LAKE ADULT KIDNEY C17 COLLECTING SYSTEM PCS STRESSED DISSOC SUBSET,,-4.3,4,5.2,30337,240,380,12,3.2,0.9,1999|3983|5209|5578|5581|6595|7078|7171|23327|51422|79026|114781,ELF3|ABLIM1|PFKFB3|PRKCA|PRKCE|SMARCA2|TIMP3|TPM4|NEDD4L|PRKAG2|AHNAK|BTBD9,-1.5,MyList
DisGeNET,35,C0025286,Meningioma,,-4.2,2.6,4.7,30337,634,380,21,5.5,1.2,240|435|864|886|2022|2034|3200|4053|4330|5133|5154|5293|5595|5725|6649|7078|7161|7799|9314|23136|57007,ALOX5|ASL|RUNX3|CCKAR|ENG|EPAS1|HOXA3|LTBP2|MN1|PDCD1|PDGFA|PIK3CD|MAPK3|PTBP1|SOD3|TIMP3|TP73|PRDM2|KLF4|EPB41L3|ACKR3,-1.5,MyList
TRRUST,34,TRR00469,Regulated by: HDAC2,,-4.2,12,7.1,30337,34,380,5,1.3,0.58,240|1677|8553|9314|51343,ALOX5|DFFB|BHLHE40|KLF4|FZR1,-1.5,MyList
DisGeNET,35,C0026034,Microstomia,,-4.2,4.6,5.4,30337,172,380,10,2.6,0.82,1312|3339|4774|4784|5048|8642|9469|10801|26053|63976,COMT|HSPG2|NFIA|NFIX|PAFAH1B1|DCHS1|CHST3|SEPTIN9|AUTS2|PRDM16,-1.5,MyList
Cell Type Signatures,7,M39017,FAN EMBRYONIC CTX BIG GROUPS CAJAL RETZIUS,,-4.2,2.9,4.8,30337,499,380,18,4.7,1.1,1534|2621|3983|4062|5493|5799|7161|10458|11332|22883|51422|54897|58504|64506|79026|83481|83648|100874531,CYB561|GAS6|ABLIM1|LY6H|PPL|PTPRN2|TP73|BAIAP2|ACOT7|CLSTN1|PRKAG2|CASZ1|ARHGAP22|CPEB1|AHNAK|EPPK1|FAM167A|LINC00581,-1.5,MyList
DisGeNET,35,C0010606,Adenoid Cystic Carcinoma,,-4.2,3.4,5,30337,325,380,14,3.7,0.97,864|1003|1969|2621|3315|3339|5293|5595|5605|6382|6595|11156|51477|57007,RUNX3|CDH5|EPHA2|GAS6|HSPB1|HSPG2|PIK3CD|MAPK3|MAP2K2|SDC1|SMARCA2|PTP4A3|ISYNA1|ACKR3,-1.5,MyList
DisGeNET,35,C0021704,Intelligence,,-4.1,2.6,4.6,30337,645,380,21,5.5,1.2,575|1434|1523|4784|5799|8019|8291|9745|9902|10160|10458|11078|22997|26053|64375|64506|85358|89796|150368|150726|101929378,ADGRB1|CSE1L|CUX1|NFIX|PTPRN2|BRD3|DYSF|ZNF536|MRC2|FARP1|BAIAP2|TRIOBP|IGSF9B|AUTS2|IKZF4|CPEB1|SHANK3|NAV1|PHETA2|FBXO41|LINC01876,-1.5,MyList
Cell Type Signatures,7,M39050,MANNO MIDBRAIN NEUROTYPES HPERIC,,-4.1,2.4,4.5,30337,795,380,24,6.3,1.2,864|1969|2034|2052|2621|2817|3090|3315|4035|5293|7171|8519|9828|9902|10044|10160|23180|23498|26119|51477|56937|219699|254102|256364,RUNX3|EPHA2|EPAS1|EPHX1|GAS6|GPC1|HIC1|HSPB1|LRP1|PIK3CD|TPM4|IFITM1|ARHGEF17|MRC2|SH2D3C|FARP1|RFTN1|HAAO|LDLRAP1|ISYNA1|PMEPA1|UNC5B|EHBP1L1|EML3,-1.5,MyList
Transcription Factor Targets,16,M30042,KMT2D TARGET GENES,,-4.1,2.4,4.5,30337,795,380,24,6.3,1.2,1312|2817|3955|4298|5581|7434|10458|10801|11078|22904|23187|23353|23654|26147|54090|54961|57153|64359|80305|89796|284186|342977|399474|100128126,COMT|GPC1|LFNG|MLLT1|PRKCE|VIPR2|BAIAP2|SEPTIN9|TRIOBP|SBNO2|PHLDB1|SUN1|PLXNB2|PHF19|LINC00111|SSH3|SLC44A2|NXN|TRABD|NAV1|TMEM105|NANOS3|TMEM200B|STAU2-AS1,-1.5,MyList
Cell Type Signatures,7,M39204,HAY BONE MARROW NK CELLS,,-4.1,3.2,4.9,30337,370,380,15,3.9,1,864|924|3689|4155|4773|7434|8519|9516|26053|51411|53637|57153|81873|92922|494470,RUNX3|CD7|ITGB2|MBP|NFATC2|VIPR2|IFITM1|LITAF|AUTS2|BIN2|S1PR5|SLC44A2|ARPC5L|CCDC102A|ARK2C,-1.5,MyList
DisGeNET,35,C1134719,Invasive Ductal Breast Carcinoma,,-4.1,3.1,4.8,30337,414,380,16,4.2,1,864|1487|3090|5133|5293|5578|5590|5753|7078|7171|9825|9902|23396|54345|57007|406984,RUNX3|CTBP1|HIC1|PDCD1|PIK3CD|PRKCA|PRKCZ|PTK6|TIMP3|TPM4|SPATA2|MRC2|PIP5K1C|SOX18|ACKR3|MIR200B,-1.5,MyList
Cell Type Signatures,7,M39055,MANNO MIDBRAIN NEUROTYPES HRGL2A,,-4.1,2.7,4.6,30337,600,380,20,5.3,1.1,1312|1572|2817|3315|3625|3955|4035|4774|4784|5578|7078|9469|9516|9620|9902|26960|79026|119587|147179|387882,COMT|CYP2F1|GPC1|HSPB1|INHBB|LFNG|LRP1|NFIA|NFIX|PRKCA|TIMP3|CHST3|LITAF|CELSR1|MRC2|NBEA|AHNAK|CPXM2|WIPF2|C12orf75,-1.4,MyList
DisGeNET,35,C0024232,Lymphatic Metastasis,,-4.1,2.9,4.7,30337,463,380,17,4.5,1.1,1969|2052|3315|5133|5293|5395|5590|5595|5725|6382|7161|9314|9319|11156|57007|168002|220064,EPHA2|EPHX1|HSPB1|PDCD1|PIK3CD|PMS2|PRKCZ|MAPK3|PTBP1|SDC1|TP73|KLF4|TRIP13|PTP4A3|ACKR3|DACT2|LTO1,-1.4,MyList
DisGeNET,35,C0265695,Congenital fusion of ribs,,-4,11,6.7,30337,37,380,5,1.3,0.58,1487|3955|10815|63976|64359,CTBP1|LFNG|CPLX1|PRDM16|NXN,-1.4,MyList
Transcription Factor Targets,16,M30363,ZNF596 TARGET GENES,,-4,2.6,4.5,30337,656,380,21,5.5,1.2,3216|4774|4782|4784|5048|5581|7078|7171|8224|9228|9922|23499|26053|65250|85379|94086|148641|157697|201191|374655|100874362,HOXB6|NFIA|NFIC|NFIX|PAFAH1B1|PRKCE|TIMP3|TPM4|SYN3|DLGAP2|IQSEC1|MACF1|AUTS2|CPLANE1|KIAA1671|HSPB9|SLC35F3|ERICH1|SAMD14|ZNF710|HOXB-AS1,-1.4,MyList
Cell Type Signatures,7,M39209,HAY BONE MARROW STROMAL,,-3.9,2.4,4.4,30337,765,380,23,6.1,1.2,1003|2034|2052|2621|3339|3625|4053|5998|6586|6649|7078|9469|9828|9902|10160|56937|57007|119587|219654|219699|399474|100874185|107985343,CDH5|EPAS1|EPHX1|GAS6|HSPG2|INHBB|LTBP2|RGS3|SLIT3|SOD3|TIMP3|CHST3|ARHGEF17|MRC2|FARP1|PMEPA1|ACKR3|CPXM2|ZCCHC24|UNC5B|TMEM200B|FRMD6-AS2|LINC01836,-1.3,MyList
DisGeNET,35,C0027796,Neuralgia,,-3.9,2.4,4.4,30337,766,380,23,6.1,1.2,864|1269|1312|1788|2052|3339|4035|4155|4772|5023|5293|5578|5595|5605|7078|9469|29933|51343|54897|57007|85358|219699|406984,RUNX3|CNR2|COMT|DNMT3A|EPHX1|HSPG2|LRP1|MBP|NFATC1|P2RX1|PIK3CD|PRKCA|MAPK3|MAP2K2|TIMP3|CHST3|GPR132|FZR1|CASZ1|ACKR3|SHANK3|UNC5B|MIR200B,-1.3,MyList
DisGeNET,35,C0023470,Myeloid Leukemia,,-3.9,3.1,4.7,30337,385,380,15,3.9,1,1523|1788|2672|3689|4298|4330|5023|5293|5578|5595|6886|7161|9314|11156|63976,CUX1|DNMT3A|GFI1|ITGB2|MLLT1|MN1|P2RX1|PIK3CD|PRKCA|MAPK3|TAL1|TP73|KLF4|PTP4A3|PRDM16,-1.3,MyList
DisGeNET,35,C1282496,Metastasis from malignant tumor of prostate,,-3.9,3.3,4.8,30337,342,380,14,3.7,0.97,1434|1487|2621|2956|3315|3339|5293|5395|6382|9314|56937|80790|153090|445815,CSE1L|CTBP1|GAS6|MSH6|HSPB1|HSPG2|PIK3CD|PMS2|SDC1|KLF4|PMEPA1|CMIP|DAB2IP|PALM2AKAP2,-1.3,MyList
DisGeNET,35,C2931852,Clear-cell metastatic renal cell carcinoma,,-3.9,3.7,4.9,30337,260,380,12,3.2,0.9,1523|1788|1969|2034|5133|5581|5595|8140|8291|23051|57007|119391,CUX1|DNMT3A|EPHA2|EPAS1|PDCD1|PRKCE|MAPK3|SLC7A5|DYSF|ZHX3|ACKR3|GSTO2,-1.3,MyList
Transcription Factor Targets,16,M17000,CP2 01,,-3.9,3.7,4.9,30337,260,380,12,3.2,0.9,4062|5595|5998|6595|6649|8642|23526|65244|84069|90427|153090|374655,LY6H|MAPK3|RGS3|SMARCA2|SOD3|DCHS1|ARHGAP45|SPATS2|PLEKHN1|BMF|DAB2IP|ZNF710,-1.3,MyList
DisGeNET,35,C0751212,"Hyperalgesia, Secondary",,-3.9,6.4,5.7,30337,88,380,7,1.8,0.69,240|1269|1312|5578|5581|5590|5595,ALOX5|CNR2|COMT|PRKCA|PRKCE|PRKCZ|MAPK3,-1.3,MyList
DisGeNET,35,C4521042,Complete Trisomy 21 Syndrome,,-3.9,2.5,4.4,30337,668,380,21,5.5,1.2,1059|1312|1434|1788|2022|2034|3559|3689|4155|4772|4773|4774|4782|4784|5293|6573|7078|7161|57007|64506|342977,CENPB|COMT|CSE1L|DNMT3A|ENG|EPAS1|IL2RA|ITGB2|MBP|NFATC1|NFATC2|NFIA|NFIC|NFIX|PIK3CD|SLC19A1|TIMP3|TP73|ACKR3|CPEB1|NANOS3,-1.3,MyList
Transcription Factor Targets,16,M17024,ETF Q6,,-3.9,5.4,5.4,30337,119,380,8,2.1,0.74,1952|4774|5909|22883|23352|55182|63976|219699,CELSR2|NFIA|RAP1GAP|CLSTN1|UBR4|RNF220|PRDM16|UNC5B,-1.3,MyList
Cell Type Signatures,7,M39113,AIZARANI LIVER C9 LSECS 1,,-3.9,3.4,4.8,30337,304,380,13,3.4,0.93,1003|2022|2034|3090|6886|7078|7171|8553|10458|11078|23499|57007|85358,CDH5|ENG|EPAS1|HIC1|TAL1|TIMP3|TPM4|BHLHE40|BAIAP2|TRIOBP|MACF1|ACKR3|SHANK3,-1.3,MyList
Transcription Factor Targets,16,M1460,TGGNNNNNNKCCAR UNKNOWN,,-3.8,2.9,4.6,30337,436,380,16,4.2,1,1003|1788|2779|3200|3216|4772|4774|5595|6382|8553|10160|51477|54453|84628|153090|164045,CDH5|DNMT3A|GNAT1|HOXA3|HOXB6|NFATC1|NFIA|MAPK3|SDC1|BHLHE40|FARP1|ISYNA1|RIN2|NTNG2|DAB2IP|HFM1,-1.3,MyList
Transcription Factor Targets,16,M15349,DBP Q6,,-3.8,3.6,4.8,30337,265,380,12,3.2,0.9,2672|3200|4330|4774|4784|6595|8642|22997|23369|26053|79778|153090,GFI1|HOXA3|MN1|NFIA|NFIX|SMARCA2|DCHS1|IGSF9B|PUM2|AUTS2|MICALL2|DAB2IP,-1.3,MyList
Transcription Factor Targets,16,M9376,AP1 Q2,,-3.8,3.6,4.8,30337,265,380,12,3.2,0.9,639|1759|1969|3200|5595|6595|8642|10160|10458|51252|79990|256364,PRDM1|DNM1|EPHA2|HOXA3|MAPK3|SMARCA2|DCHS1|FARP1|BAIAP2|FAM178B|PLEKHH3|EML3,-1.3,MyList
Transcription Factor Targets,16,M572,TGCCAAR NF1 Q6,,-3.8,2.4,4.4,30337,727,380,22,5.8,1.2,105|379|3142|3559|4053|4773|4774|4784|6586|6595|7078|7799|9922|10804|23369|54453|56262|116986|119587|130497|202333|389558,ADARB2|ARL4D|HLX|IL2RA|LTBP2|NFATC2|NFIA|NFIX|SLIT3|SMARCA2|TIMP3|PRDM2|IQSEC1|GJB6|PUM2|RIN2|LRRC8A|AGAP2|CPXM2|OSR1|CMYA5|FAM180A,-1.3,MyList
DisGeNET,35,C0234251,Inflammatory pain,,-3.8,3.6,4.8,30337,266,380,12,3.2,0.9,1269|1312|1523|1788|5293|5578|5595|9536|23327|29933|57007|64506,CNR2|COMT|CUX1|DNMT3A|PIK3CD|PRKCA|MAPK3|PTGES|NEDD4L|GPR132|ACKR3|CPEB1,-1.3,MyList
Transcription Factor Targets,16,M9769,CTGCAGY UNKNOWN,,-3.8,2.4,4.3,30337,779,380,23,6.1,1.2,1759|1788|3200|3216|3985|4062|4784|5048|5909|7071|8553|10044|10160|23136|23369|26960|50619|55684|56262|114781|149134|164045|168002,DNM1|DNMT3A|HOXA3|HOXB6|LIMK2|LY6H|NFIX|PAFAH1B1|RAP1GAP|KLF10|BHLHE40|SH2D3C|FARP1|EPB41L3|PUM2|NBEA|DEF6|RABL6|LRRC8A|BTBD9|LINC01341|HFM1|DACT2,-1.3,MyList
DisGeNET,35,C2243051,Large head (disorder),,-3.8,7.5,5.8,30337,64,380,6,1.6,0.64,1759|4774|5395|6595|26053|54453,DNM1|NFIA|PMS2|SMARCA2|AUTS2|RIN2,-1.3,MyList
DisGeNET,35,C0429097,QRS complex feature,,-3.8,9.7,6.3,30337,41,380,5,1.3,0.58,4774|5578|9516|63976|143187,NFIA|PRKCA|LITAF|PRDM16|VTI1A,-1.3,MyList
DisGeNET,35,C0007124,Noninfiltrating Intraductal Carcinoma,,-3.8,2.8,4.5,30337,486,380,17,4.5,1.1,864|1999|2621|2956|3202|3315|3559|5293|5395|5595|5909|6382|9612|9620|9902|11156|84627,RUNX3|ELF3|GAS6|MSH6|HOXA5|HSPB1|IL2RA|PIK3CD|PMS2|MAPK3|RAP1GAP|SDC1|NCOR2|CELSR1|MRC2|PTP4A3|ZNF469,-1.3,MyList
Cell Type Signatures,7,M39108,AIZARANI LIVER C4 EPCAM POS BILE DUCT CELLS 1,,-3.8,4.2,5,30337,191,380,10,2.6,0.82,1999|4782|5909|6382|6649|7071|7465|23327|56937|57648,ELF3|NFIC|RAP1GAP|SDC1|SOD3|KLF10|WEE1|NEDD4L|PMEPA1|NHSL3,-1.3,MyList
Cell Type Signatures,7,M39105,AIZARANI LIVER C1 NK NKT CELLS 1,,-3.8,4.6,5.1,30337,157,380,9,2.4,0.78,639|864|924|3689|4155|8519|23526|51411|147138,PRDM1|RUNX3|CD7|ITGB2|MBP|IFITM1|ARHGAP45|BIN2|TMC8,-1.2,MyList
DisGeNET,35,C0027809,Neurilemmoma,,-3.8,4.1,4.9,30337,193,380,10,2.6,0.82,1523|2022|2621|4155|5293|5595|5605|7161|57007|116986,CUX1|ENG|GAS6|MBP|PIK3CD|MAPK3|MAP2K2|TP73|ACKR3|AGAP2,-1.2,MyList
Transcription Factor Targets,16,M16919,AP1FJ Q2,,-3.8,3.5,4.7,30337,271,380,12,3.2,0.9,639|1759|1969|5048|5595|6595|8642|10160|51252|79990|202333|256364,PRDM1|DNM1|EPHA2|PAFAH1B1|MAPK3|SMARCA2|DCHS1|FARP1|FAM178B|PLEKHH3|CMYA5|EML3,-1.2,MyList
Transcription Factor Targets,16,M6446,CACCCBINDINGFACTOR Q6,,-3.8,3.5,4.7,30337,271,380,12,3.2,0.9,3985|4035|6382|10160|10636|10815|23136|23174|23187|63976|79026|90427,LIMK2|LRP1|SDC1|FARP1|RGS14|CPLX1|EPB41L3|ZCCHC14|PHLDB1|PRDM16|AHNAK|BMF,-1.2,MyList
DisGeNET,35,C0002170,Alopecia,,-3.8,2.8,4.4,30337,491,380,17,4.5,1.1,864|1487|1855|3559|5154|6573|6595|10603|10804|23051|26053|54082|54345|54453|54897|64359|101928784,RUNX3|CTBP1|DVL1|IL2RA|PDGFA|SLC19A1|SMARCA2|SH2B2|GJB6|ZHX3|AUTS2|TSPEAR-AS1|SOX18|RIN2|CASZ1|NXN|RORA-AS1,-1.2,MyList
Transcription Factor Targets,16,M40841,ADNP TARGET GENES,,-3.7,5.9,5.4,30337,94,380,7,1.8,0.69,115|2395|9902|10801|23499|26119|147138,ADCY9|FXN|MRC2|SEPTIN9|MACF1|LDLRAP1|TMC8,-1.2,MyList
DisGeNET,35,C4528257,Corpuscular Hemoglobin Concentration Mean,,-3.7,3,4.5,30337,401,380,15,3.9,1,240|1677|5581|6650|6886|8224|9612|9828|9830|23499|25862|51090|51422|201176|254102,ALOX5|DFFB|PRKCE|CAPN15|TAL1|SYN3|NCOR2|ARHGEF17|TRIM14|MACF1|USP49|PLLP|PRKAG2|ARHGAP27|EHBP1L1,-1.2,MyList
DisGeNET,35,C0376618,Endotoxemia,,-3.7,3,4.5,30337,401,380,15,3.9,1,240|435|1003|1269|3315|3689|4155|5023|5209|5293|5595|7078|9536|51477|57007,ALOX5|ASL|CDH5|CNR2|HSPB1|ITGB2|MBP|P2RX1|PFKFB3|PIK3CD|MAPK3|TIMP3|PTGES|ISYNA1|ACKR3,-1.2,MyList
DisGeNET,35,C0020534,Orbital separation excessive,,-3.7,2.6,4.3,30337,590,380,19,5,1.1,1312|1487|1788|1855|2314|3339|4298|4784|5048|5605|8642|9394|9469|10815|26053|56262|64359|65250|83879,COMT|CTBP1|DNMT3A|DVL1|FLII|HSPG2|MLLT1|NFIX|PAFAH1B1|MAP2K2|DCHS1|HS6ST1|CHST3|CPLX1|AUTS2|LRRC8A|NXN|CPLANE1|CDCA7,-1.2,MyList
DisGeNET,35,C0238790,bone destruction,,-3.7,3.8,4.8,30337,234,380,11,2.9,0.86,864|1269|1523|2672|4772|5595|6382|6452|23030|50619|56937,RUNX3|CNR2|CUX1|GFI1|NFATC1|MAPK3|SDC1|SH3BP2|KDM4B|DEF6|PMEPA1,-1.2,MyList
Cell Type Signatures,7,M39109,AIZARANI LIVER C5 NK NKT CELLS 3,,-3.7,5.1,5.2,30337,126,380,8,2.1,0.74,639|864|924|3689|8519|51411|53637|81873,PRDM1|RUNX3|CD7|ITGB2|IFITM1|BIN2|S1PR5|ARPC5L,-1.2,MyList
DisGeNET,35,C0002726,Amyloidosis,,-3.7,2.4,4.2,30337,694,380,21,5.5,1.2,240|1269|1434|1759|1788|2621|3339|4035|4155|4774|4782|4784|5293|5578|5595|6382|8291|10043|10044|90427|153090,ALOX5|CNR2|CSE1L|DNM1|DNMT3A|GAS6|HSPG2|LRP1|MBP|NFIA|NFIC|NFIX|PIK3CD|PRKCA|MAPK3|SDC1|DYSF|TOM1|SH2D3C|BMF|DAB2IP,-1.2,MyList
DisGeNET,35,C0152171,Idiopathic pulmonary hypertension,,-3.7,4.5,5,30337,161,380,9,2.4,0.78,240|1487|2022|2034|3202|4035|5154|5595|6649,ALOX5|CTBP1|ENG|EPAS1|HOXA5|LRP1|PDGFA|MAPK3|SOD3,-1.2,MyList
DisGeNET,35,C0020429,Hyperalgesia,,-3.7,2.8,4.4,30337,451,380,16,4.2,1,240|1269|1312|1523|4773|5023|5293|5578|5581|5590|5595|5725|9536|29933|51477|85358,ALOX5|CNR2|COMT|CUX1|NFATC2|P2RX1|PIK3CD|PRKCA|PRKCE|PRKCZ|MAPK3|PTBP1|PTGES|GPR132|ISYNA1|SHANK3,-1.2,MyList
Cell Type Signatures,7,M39166,GAO LARGE INTESTINE ADULT CI MESENCHYMAL CELLS,,-3.7,3.1,4.5,30337,361,380,14,3.7,0.97,240|639|864|924|3689|4772|5023|5802|8140|22821|90427|92922|147138|221472,ALOX5|PRDM1|RUNX3|CD7|ITGB2|NFATC1|P2RX1|PTPRS|SLC7A5|RASA3|BMF|CCDC102A|TMC8|FGD2,-1.2,MyList
DisGeNET,35,C0936223,Metastatic Prostate Carcinoma,,-3.7,3.1,4.5,30337,362,380,14,3.7,0.97,1434|1487|2621|2956|3315|3339|5293|5395|6382|9314|56937|80790|153090|445815,CSE1L|CTBP1|GAS6|MSH6|HSPB1|HSPG2|PIK3CD|PMS2|SDC1|KLF4|PMEPA1|CMIP|DAB2IP|PALM2AKAP2,-1.2,MyList
DisGeNET,35,C0426848,Sacral dimple,,-3.6,6.9,5.6,30337,69,380,6,1.6,0.64,1855|3090|5048|8642|64359|85358,DVL1|HIC1|PAFAH1B1|DCHS1|NXN|SHANK3,-1.2,MyList
Cell Type Signatures,7,M39037,FAN EMBRYONIC CTX OLIG,,-3.6,2.3,4.2,30337,754,380,22,5.8,1.2,2621|3632|4155|5998|6196|7799|9524|9612|9715|9745|9825|11033|22821|23136|23187|26119|51090|53637|55182|58504|219699|389337,GAS6|INPP5A|MBP|RGS3|RPS6KA2|PRDM2|TECR|NCOR2|FAM131B|ZNF536|SPATA2|ADAP1|RASA3|EPB41L3|PHLDB1|LDLRAP1|PLLP|S1PR5|RNF220|ARHGAP22|UNC5B|ARHGEF37,-1.2,MyList
Cell Type Signatures,7,M40012,BUSSLINGER GASTRIC IMMATURE PIT CELLS,,-3.6,4.4,4.9,30337,165,380,9,2.4,0.78,218|3315|3983|5595|7171|9314|23654|57153|79026,ALDH3A1|HSPB1|ABLIM1|MAPK3|TPM4|KLF4|PLXNB2|SLC44A2|AHNAK,-1.2,MyList
DisGeNET,35,C1306557,Chronic venous insufficiency,,-3.6,13,6.6,30337,25,380,4,1.1,0.52,2022|3689|5293|5595,ENG|ITGB2|PIK3CD|MAPK3,-1.2,MyList
DisGeNET,35,C1261502,Finding of Mean Corpuscular Hemoglobin,,-3.6,2.4,4.2,30337,653,380,20,5.3,1.1,240|1269|4298|4330|4784|5493|6886|8019|8140|22904|25862|26053|57666|63976|84875|92922|114818|161882|254102|345274,ALOX5|CNR2|MLLT1|MN1|NFIX|PPL|TAL1|BRD3|SLC7A5|SBNO2|USP49|AUTS2|FBRSL1|PRDM16|PARP10|CCDC102A|KLHL29|ZFPM1|EHBP1L1|SLC10A6,-1.2,MyList
Transcription Factor Targets,16,M17712,WGTTNNNNNAAA UNKNOWN,,-3.6,2.6,4.3,30337,554,380,18,4.7,1.1,105|639|1298|3142|3200|3202|3216|3983|3985|4774|5998|8140|54453|63976|161882|202333|374655|389558,ADARB2|PRDM1|COL9A2|HLX|HOXA3|HOXA5|HOXB6|ABLIM1|LIMK2|NFIA|RGS3|SLC7A5|RIN2|PRDM16|ZFPM1|CMYA5|ZNF710|FAM180A,-1.2,MyList
DisGeNET,35,C1865014,Long philtrum,,-3.6,3.4,4.6,30337,282,380,12,3.2,0.9,1312|1855|3339|3955|5605|6595|9469|10815|54453|63976|64359|85358,COMT|DVL1|HSPG2|LFNG|MAP2K2|SMARCA2|CHST3|CPLX1|RIN2|PRDM16|NXN|SHANK3,-1.2,MyList
DisGeNET,35,C0028945,oligodendroglioma,,-3.6,3.4,4.6,30337,282,380,12,3.2,0.9,1434|1677|2034|2395|2956|3339|4155|5154|5293|6595|7161|7799,CSE1L|DFFB|EPAS1|FXN|MSH6|HSPG2|MBP|PDGFA|PIK3CD|SMARCA2|TP73|PRDM2,-1.2,MyList
DisGeNET,35,C0338831,Manic,,-3.6,4.3,4.8,30337,166,380,9,2.4,0.78,1312|4784|5293|5578|6196|8553|10815|84628|85358,COMT|NFIX|PIK3CD|PRKCA|RPS6KA2|BHLHE40|CPLX1|NTNG2|SHANK3,-1.2,MyList
Cell Type Signatures,7,M39117,AIZARANI LIVER C13 LSECS 2,,-3.6,3.4,4.5,30337,283,380,12,3.2,0.9,1003|2022|2034|7078|7171|9314|10044|10458|11078|79652|85358|219654,CDH5|ENG|EPAS1|TIMP3|TPM4|KLF4|SH2D3C|BAIAP2|TRIOBP|TMEM204|SHANK3|ZCCHC24,-1.2,MyList
Cell Type Signatures,7,M39053,MANNO MIDBRAIN NEUROTYPES HRGL2C,,-3.6,3.2,4.5,30337,326,380,13,3.4,0.93,575|3955|4035|4773|4774|4784|5578|9469|9516|9902|22997|51090|89796,ADGRB1|LFNG|LRP1|NFATC2|NFIA|NFIX|PRKCA|CHST3|LITAF|MRC2|IGSF9B|PLLP|NAV1,-1.2,MyList
Cell Type Signatures,7,M40175,DESCARTES FETAL EYE CORNEAL AND CONJUNCTIVAL EPITHELIAL CELLS,,-3.6,3.6,4.6,30337,243,380,11,2.9,0.86,1534|1572|1999|6382|9516|9825|55620|57648|374569|647024|100130449,CYB561|CYP2F1|ELF3|SDC1|LITAF|SPATA2|STAP2|NHSL3|ASPG|C6orf132|GPC1-AS1,-1.2,MyList
Transcription Factor Targets,16,M18732,AP2ALPHA 01,,-3.6,3.6,4.6,30337,243,380,11,2.9,0.86,1059|3090|3200|4035|5605|7071|25862|26468|55182|63976|79026,CENPB|HIC1|HOXA3|LRP1|MAP2K2|KLF10|USP49|LHX6|RNF220|PRDM16|AHNAK,-1.2,MyList
DisGeNET,35,C0349566,Squamous cell carcinoma of tongue,,-3.6,2.8,4.3,30337,462,380,16,4.2,1,864|1523|1969|2034|3315|3339|5133|5293|5595|5725|6382|9830|51343|51477|130497|406984,RUNX3|CUX1|EPHA2|EPAS1|HSPB1|HSPG2|PDCD1|PIK3CD|MAPK3|PTBP1|SDC1|TRIM14|FZR1|ISYNA1|OSR1|MIR200B,-1.2,MyList
DisGeNET,35,C0014474,Ependymoma,,-3.6,3.6,4.6,30337,244,380,11,2.9,0.86,2956|3090|4035|4782|5293|5395|5802|7078|7161|23136|65998,MSH6|HIC1|LRP1|NFIC|PIK3CD|PMS2|PTPRS|TIMP3|TP73|EPB41L3|ZFTA,-1.1,MyList
